data;hora;altura
01/05/2025;00:14;0.45
01/05/2025;06:19;2.24
01/05/2025;12:44;0.34
01/05/2025;19:01;2.05
02/05/2025;01:04;0.63
02/05/2025;07:12;2.08
02/05/2025;13:53;0.52
02/05/2025;20:02;1.85
03/05/2025;02:14;0.80
03/05/2025;08:23;1.92
03/05/2025;15:10;0.66
03/05/2025;21:25;1.72
04/05/2025;03:34;0.90
04/05/2025;09:38;1.83
04/05/2025;16:36;0.71
04/05/2025;22:42;1.68
05/05/2025;05:02;0.89
05/05/2025;11:02;1.83
05/05/2025;17:51;0.69
05/05/2025;23:59;1.73
06/05/2025;06:06;0.81
06/05/2025;12:12;1.88
06/05/2025;18:47;0.64
07/05/2025;00:44;1.81
07/05/2025;06:59;0.71
07/05/2025;13:01;1.96
07/05/2025;19:23;0.59
08/05/2025;01:27;1.90
08/05/2025;07:40;0.61
08/05/2025;13:36;2.03
08/05/2025;20:01;0.54
09/05/2025;01:59;2.00
09/05/2025;08:08;0.51
09/05/2025;14:12;2.09
09/05/2025;20:31;0.48
10/05/2025;02:25;2.10
10/05/2025;08:42;0.44
10/05/2025;14:47;2.15
10/05/2025;20:59;0.43
11/05/2025;02:59;2.17
11/05/2025;09:14;0.38
11/05/2025;15:14;2.19
11/05/2025;21:25;0.40
12/05/2025;03:32;2.22
12/05/2025;09:47;0.35
12/05/2025;15:49;2.19
12/05/2025;21:59;0.40
13/05/2025;04:40;2.24
13/05/2025;10:51;0.35
13/05/2025;17:02;2.18
13/05/2025;23:04;0.43
14/05/2025;04:40;2.21
14/05/2025;10:51;0.38
14/05/2025;17:02;2.13
14/05/2025;23:04;0.49
15/05/2025;05:14;2.15
15/05/2025;11:31;0.44
15/05/2025;17:42;2.05
15/05/2025;23:40;0.58
16/05/2025;05:55;2.08
16/05/2025;12:06;0.51
16/05/2025;18:23;1.95
17/05/2025;00:25;0.68
17/05/2025;06:38;2.00
17/05/2025;12:53;0.59
17/05/2025;19:16;1.85
18/05/2025;01:08;0.77
18/05/2025;07:27;1.92
18/05/2025;13:55;0.65
18/05/2025;20:12;1.78
19/05/2025;02:10;0.85
19/05/2025;08:31;1.88
19/05/2025;14:59;0.69
19/05/2025;21:23;1.75
20/05/2025;03:17;0.86
20/05/2025;09:36;1.89
20/05/2025;16:14;0.66
20/05/2025;22:27;1.79
21/05/2025;04:38;0.80
21/05/2025;10:53;1.97
21/05/2025;17:25;0.59
21/05/2025;23:38;1.88
22/05/2025;05:44;0.67
22/05/2025;11:53;2.08
22/05/2025;18:23;0.48
23/05/2025;00:27;2.01
23/05/2025;06:42;0.50
23/05/2025;12:53;2.22
23/05/2025;19:14;0.38
24/05/2025;01:21;2.15
24/05/2025;07:34;0.34
24/05/2025;13:44;2.33
24/05/2025;20:04;0.29
25/05/2025;02:06;2.28
25/05/2025;08:21;0.20
25/05/2025;14:38;2.41
25/05/2025;20:53;0.24
26/05/2025;02:55;2.37
26/05/2025;09:12;0.11
26/05/2025;15:23;2.44
26/05/2025;21:36;0.24
27/05/2025;03:44;2.43
27/05/2025;10:01;0.07
27/05/2025;16:14;2.40
27/05/2025;22:25;0.28
28/05/2025;04:27;2.42
28/05/2025;10:51;0.11
28/05/2025;17:02;2.31
28/05/2025;23:08;0.35
29/05/2025;05:17;2.37
29/05/2025;11:46;0.20
29/05/2025;17:55;2.18
30/05/2025;00:01;0.47
30/05/2025;06:08;2.27
30/05/2025;12:36;0.33
30/05/2025;18:49;2.03
31/05/2025;00:05;0.59
31/05/2025;07:02;2.15
31/05/2025;13:40;0.47
31/05/2025;19:46;1.90
